total dirs files folder_names file_names fo_and_fi_names repo_name
15 0.60 0.40 "app bin config db lib log public test vendor " ".gitignore Gemfile Gemfile.lock README.md Rakefile config.ru " ".gitignore Gemfile Gemfile.lock README.md Rakefile app bin config.ru config db lib log public test vendor " boothappdev_homework_best_of_everything
4 0.50 0.50 "Analysis of Algorithms CompOrg " ".gitignore readme " ".gitignore Analysis of Algorithms CompOrg readme " geoffhotchkiss_Homework
2 0.50 0.50 "Shawn Santiago " "README.md " "README.md Shawn Santiago " ShawnSantiago_week3-homework
2 0.50 0.50 ".idea " "README.md " ".idea README.md " iskandaryusupov_homework
29 0.93 0.07 "_Alex_Buell _Benjamin_Ellis _Chris_Brown _Greg_Takayama _Hannah_Oppenheimer _James_Barnes _James_Malley _Jennifer_Spriggs _Jennifer_Webb _Jonathan_Lerner _Kellye_Greene _Manjari_Kumar _Mariana_Souza _Matthew_Ferreira _Michael_Shields _Mike_Lewis _Mike_OSullivan _Natali_Toupin _Nick_Phillips _Oleg_Moshkovich _Pamela_Boone _Patsy_Walsh _Philip_Reichen _Rachel_Wu _Ranny_Ma _Roxanne_Gaudiel _Susan_Lynch " ".DS_Store .gitignore " ".DS_Store .gitignore _Alex_Buell _Benjamin_Ellis _Chris_Brown _Greg_Takayama _Hannah_Oppenheimer _James_Barnes _James_Malley _Jennifer_Spriggs _Jennifer_Webb _Jonathan_Lerner _Kellye_Greene _Manjari_Kumar _Mariana_Souza _Matthew_Ferreira _Michael_Shields _Mike_Lewis _Mike_OSullivan _Natali_Toupin _Nick_Phillips _Oleg_Moshkovich _Pamela_Boone _Patsy_Walsh _Philip_Reichen _Rachel_Wu _Ranny_Ma _Roxanne_Gaudiel _Susan_Lynch " ga-students_bewd_10_nyc_homework
2 0.00 1.00 "" "README.md test " "README.md test " memebub_Homework
3 0.33 0.67 "EmailManager " ".gitattributes .gitignore " ".gitattributes .gitignore EmailManager " adrianiurov_Homework
2 0.50 0.50 "tcc " "readme.txt " "readme.txt tcc " jpoehls_homework
5 0.00 1.00 "" "0.txt 1.txt 10.txt 3.txt 9.txt " "0.txt 1.txt 10.txt 3.txt 9.txt " Levshenkov_Homework
6 0.00 1.00 "" ".gitattributes .gitignore bintogray.c graytobin.c readme.txt wk2.txt " ".gitattributes .gitignore bintogray.c graytobin.c readme.txt wk2.txt " macksoneh_homework
1 0.00 1.00 "" "README.md " "README.md " paenov_HomeWork
6 0.17 0.83 "tests " ".gitignore CHANGES README.md index.js package.json " ".gitignore CHANGES README.md index.js package.json tests " Echo3ToEcho7_TAM-HW3
3 0.33 0.67 "16-arraylist " ".gitattributes .gitignore " ".gitattributes .gitignore 16-arraylist " ibelenkiy_Homework
4 0.25 0.75 "src " ".gitignore README.md pom.xml " ".gitignore README.md pom.xml src " emli_homework
5 0.20 0.80 "email.txt " "index.html my_phone phoneMail virus.txt " "email.txt index.html my_phone phoneMail virus.txt " blackneet_homework
37 0.92 0.08 "AliPisano-alipisano AliceChiu-alicechiu AliviaBlount-amblount AmyWang-amywang87 AnneGarlandBerry-annegarlandberry BrentPhillips-brentxphillips ChinhLe-chinhle94115 ChrisDralla-chrisdralla ChristineLau-chylaudes ConnieHorng-grnsimplicity DanLagomarsino-Daniel-Anthony DavidJuarez-djuare EdwardSung-kaiyusung GarrettSpitzer-spitzergarrett JoshWardle-powerlanguage LeahReitz-leahreitz LeoTishin-Lansaro LeslieGomez-MojoBoot MatthewRodigheri-MatthewRodigheri MichaelFerguson-mikeyferg MikeCassaro-mcc33 MorganHolland-spoofhopper NicoleBorgaard-Borgaard PaigeKirstein-prkirstein RaymondLiaw-rayliaw SarahKavrell-sarahkavrell SeanFalese-falese SeanNarvasa-snarvasa THERESASILIEZAR-TJSZ WilliamRames-WilliamRames XiaoweiWang-xrwang YelenaKozlova-kreatyvdesign YvesTcheutchoua-yvestch guidance " ".gitignore README.md clmystery " ".gitignore AliPisano-alipisano AliceChiu-alicechiu AliviaBlount-amblount AmyWang-amywang87 AnneGarlandBerry-annegarlandberry BrentPhillips-brentxphillips ChinhLe-chinhle94115 ChrisDralla-chrisdralla ChristineLau-chylaudes ConnieHorng-grnsimplicity DanLagomarsino-Daniel-Anthony DavidJuarez-djuare EdwardSung-kaiyusung GarrettSpitzer-spitzergarrett JoshWardle-powerlanguage LeahReitz-leahreitz LeoTishin-Lansaro LeslieGomez-MojoBoot MatthewRodigheri-MatthewRodigheri MichaelFerguson-mikeyferg MikeCassaro-mcc33 MorganHolland-spoofhopper NicoleBorgaard-Borgaard PaigeKirstein-prkirstein README.md RaymondLiaw-rayliaw SarahKavrell-sarahkavrell SeanFalese-falese SeanNarvasa-snarvasa THERESASILIEZAR-TJSZ WilliamRames-WilliamRames XiaoweiWang-xrwang YelenaKozlova-kreatyvdesign YvesTcheutchoua-yvestch clmystery guidance " ga-students_bewd_sf_10_homework
8 0.75 0.25 "2week 3week 4week 5week 7week likelion_flaskr_init " "README.md record.py " "2week 3week 4week 5week 7week README.md likelion_flaskr_init record.py " YungUnKim_homework
15 0.60 0.40 "app bin config db lib log public test vendor " ".gitignore Gemfile Gemfile.lock README.md Rakefile config.ru " ".gitignore Gemfile Gemfile.lock README.md Rakefile app bin config.ru config db lib log public test vendor " rails-decal_sp16-hw2
18 0.83 0.17 "biaodanyanzheng biaogexuanran bootstrap-3.3.5 bootstrap checkbox daojishi dynatic jquery lingdong placeholder random select tab zuoye2 zuoyongyu " "jingdongtab.html jquery-1.12.3.js underscore-min.js " "biaodanyanzheng biaogexuanran bootstrap-3.3.5 bootstrap checkbox daojishi dynatic jingdongtab.html jquery-1.12.3.js jquery lingdong placeholder random select tab underscore-min.js zuoye2 zuoyongyu " wangqiaoxi2016_homework
6 0.33 0.67 "cache src " "README.md bootstrap.php composer.json composer.lock " "README.md bootstrap.php cache composer.json composer.lock src " milan-kaszas-doclerholding_candidate_practical_homework_refactoring
3 0.67 0.33 "hw1.playground swift.playground " "README.md " "README.md hw1.playground swift.playground " evagnostic_ios-decal-hw1
3 0.67 0.33 "13550128 Test Upload Project HomeWork_2 13550128 " ".gitignore " ".gitignore 13550128 Test Upload Project HomeWork_2 13550128 " exsodiaman_HomeWork
1 1.00 0.00 "Homework  Arrays, Lists, Stacks, Queues " "" "Homework  Arrays, Lists, Stacks, Queues " spask_Homework
9 0.00 1.00 "" "README esercitazione.js point.js randomPoint.js randomPoints.js semipianoPositivo.js sumPositive.js translate.js triangle.js " "README esercitazione.js point.js randomPoint.js randomPoints.js semipianoPositivo.js sumPositive.js translate.js triangle.js " RdL87_homework
3 1.00 0.00 "SettingsLib homework1 homework2 " "" "SettingsLib homework1 homework2 " ateuhh_homework
11 0.73 0.27 "BST Exploit HashTable Homework0 Homework1 Homework2 Test1 test2 " "README.md Sorting test2_2.c " "BST Exploit HashTable Homework0 Homework1 Homework2 README.md Sorting Test1 test2 test2_2.c " Zettom_Homework
2 0.00 1.00 "" "README.md index.html " "README.md index.html " kk555770_homework
16 0.56 0.44 "app bin config db lib log public test vendor " ".DS_Store .gitignore Gemfile Gemfile.lock README.rdoc Rakefile config.ru " ".DS_Store .gitignore Gemfile Gemfile.lock README.rdoc Rakefile app bin config.ru config db lib log public test vendor " vkumar2015_homework
