all_commits weekend_commits weekday_commits work_hrs_commits non_work_hrs_commits inter_commit_distance_average commits_per_day_average authors_count author_vs_committer active_days repo_name
635.00 0.25 0.75 0.25 0.75 31.33 0.77 50.00 0.00 0.15 bangbangcon_bangbangcon
622.00 0.19 0.81 0.23 0.77 90.74 0.26 16.00 0.00 0.07 WebGLSamples_WebGLSamples
37.00 0.14 0.86 0.62 0.38 105.26 0.23 2.00 0.00 0.14 boniface_course
148.00 0.23 0.77 0.52 0.48 178.88 0.14 12.00 0.00 0.05 jeroenjanssens_data-science-at-the-command-line
24.00 0.29 0.71 0.38 0.62 355.42 0.07 1.00 0.00 0.03 mapschool_course
11.00 0.00 1.00 0.64 0.36 19.55 1.35 1.00 0.00 0.44 plushogskolan_data
92.00 0.34 0.66 0.43 0.57 7.65 3.17 6.00 0.00 0.57 QuantumFractal_Data-Structure-Zoo
57.00 0.09 0.91 0.77 0.23 50.03 0.49 2.00 0.00 0.23 uit-inf-3203_Course
284.00 0.20 0.80 0.47 0.53 71.13 0.34 67.00 0.00 0.15 DataScienceSpecialization_DataScienceSpecialization
202.00 0.10 0.90 0.24 0.76 41.81 0.58 4.00 0.00 0.09 artemmavrin_latex-homework
489.00 0.38 0.62 0.69 0.31 58.73 0.41 48.00 0.00 0.12 camenergydatalab_EnergyDataSimulationChallenge
60.00 0.53 0.47 0.15 0.85 420.56 0.06 6.00 0.00 0.02 nborwankar_LearnDataScience
81.00 0.26 0.74 0.47 0.53 318.81 0.08 2.00 0.00 0.01 Baeldung_course
201.00 0.41 0.59 0.13 0.87 84.84 0.28 1.00 0.00 0.08 iamralpht_iamralpht
885.00 0.25 0.75 0.65 0.35 16.87 1.42 7.00 0.00 0.33 DaveBackus_Data_Bootcamp
460.00 0.21 0.79 0.45 0.55 33.12 0.73 6.00 0.00 0.09 softEcon_course
95.00 0.36 0.64 0.32 0.68 96.19 0.25 14.00 0.00 0.10 drivendata_cookiecutter-data-science
344.00 0.10 0.90 0.28 0.72 39.47 0.61 18.00 0.00 0.17 MIDS-scaling-up_coursework
161.00 0.06 0.94 0.27 0.73 32.40 0.75 8.00 0.00 0.17 words-sdsc_coursera
493.00 0.19 0.81 0.58 0.42 43.99 0.55 25.00 0.00 0.16 tuhdo_tuhdo
