commits_count commits_interval_days commits_per_day repo_name
2685.00 968.66 2.77 opendaylight_docs
95.00 570.03 0.17 nodejs_docs
1120.00 1498.96 0.75 stardog-union_stardog-docs
48.00 850.69 0.06 gpmgo_docs
4.00 276.72 0.01 alibaba_RocketMQ-docs
755.00 899.64 0.84 stellar_docs
5.00 479.44 0.01 jmpressjs_docs
97.00 1322.75 0.07 Giphy_GiphyAPI
188.00 703.68 0.27 ramda_ramda
1420.00 1407.80 1.01 rockettheme_docs
1442.00 2021.15 0.71 wildfly_quickstart
306.00 1010.27 0.30 webmagic-io_docs
40.00 414.79 0.10 peachdocs_docs
65.00 31.52 2.06 mb2o_docs
1.00 0.00 1.00 elixir-lang_docs
121.00 367.12 0.33 datproject_docs
3121.00 936.12 3.33 GluuFederation_docs
4377.00 530.18 8.26 IBM-Bluemix_docs
66.00 454.69 0.15 lisposter_gulp-docs-zh-cn
215.00 201.61 1.07 sendcloud2013_sendcloud_docs
2279.00 1115.73 2.04 rethinkdb_docs
34.00 437.65 0.08 freedocs_docs
62.00 70.41 0.88 SkylinesModding_Docs
1085.00 622.70 1.74 pagelines_Docs
118.00 365.95 0.32 makerdao_docs
261.00 628.21 0.42 hshackers_docs
1838.00 1608.99 1.14 bolt_docs
131.00 1726.79 0.08 minkphp_docs
300.00 743.36 0.40 api-platform_docs
296.00 128.49 2.30 TheThingsNetwork_docs
277.00 438.64 0.63 buildkite_docs
9.00 19.92 0.45 igorman_data-engineering
414.00 1305.74 0.32 SeleniumHQ_docs
1833.00 607.77 3.02 openaps_docs
1534.00 1295.07 1.18 ouya_docs
91.00 200.23 0.45 mint-ui_docs
20.00 1773.89 0.01 hyde_docs
2761.00 2739.92 1.01 apache_cordova-docs
410.00 169.05 2.43 witheve_docs
140.00 515.83 0.27 monzo_docs
816.00 424.70 1.92 Polymer_docs
1388.00 939.35 1.48 googledatalab_datalab
1233.00 900.31 1.37 NativeScript_docs
137.00 858.09 0.16 Intervention_docs
1297.00 447.83 2.90 cloudfoundry-attic_cf-docs
957.00 1301.29 0.74 lfe_docs
526.00 2096.37 0.25 mozilla-services_docs
1579.00 601.09 2.63 dotnet_docs
389.00 496.84 0.78 project-fifo_docs
1633.00 621.34 2.63 biicode_docs
83.00 140.15 0.59 ianozsvald_data_science_delivered
