commits_count commits_interval_days commits_per_day repo_name
34.00 200.83 0.17 dgpdec_course
144.00 255.22 0.56 CSC-326_Course
56.00 4.35 12.88 ben519_DataWrangling
21.00 275.23 0.08 itweet_course
41.00 57.79 0.71 pynxton_course
118.00 686.99 0.17 algorithmica-repository_datascience
15.00 75.76 0.20 EricSimons_ionic-course
80.00 1083.71 0.07 uwescience_datasci_course_materials
6.00 0.00 6.00 openhomeautomation_course
44.00 531.58 0.08 jhu-ep-coursera_fullstack-course1-module2
134.00 388.58 0.34 teachbsd_course
103.00 109.68 0.94 elm-city-craftworks_course-001
